id,tag,location,N0004,N0005,N0006,N0007,N0014
1,EB03,F1,-86.67,-71.62,-82.34,-54.4,-45.7
2,EB03,F2,-87.47,-64.29,-75.55,-42.11,-47.06
3,EB03,F3,-85.51,-62.44,-68,-35.02,-48.55
4,EB03,F4,-93.16,-77.45,-83.22,-42.83,-39.98
5,EB03,F5,-88.22,-62.05,-73.71,-49.13,-51.32
6,EB03,F6,-92.61,-72.47,-81.27,-47.7,-51.07
7,EB03,F7,-90.77,-70.08,-76.76,-51.74,-39.13
8,EB03,F8,-96.38,-66.18,-84.33,-52.04,-35.51
9,EB03,F9,-99.19,-61.07,-76.69,-40.52,-43.32
10,EB03,F10,-97.52,-64.56,-74.38,-49.43,-27.75
11,EB03,F11,-94.7,-67.4,-79.92,-52.36,-43.32
12,EB03,F12,-95.06,-67.91,-79.54,-38.73,-39.67
13,EB03,F13,-97.44,-73.21,-79.34,-48.71,-29.91
14,EB03,F14,-96.33,-72.93,-86.51,-44.73,-39.91
15,EB03,F15,-94.21,-62.51,-81.78,-41.98,-48.72
16,EB01,A1,-97.60377358490567,-86.37662337662337,-91.08695652173913,-53.206896551724135,-48.422413793103445
17,EB01,A2,-101.25,-89.59146341463415,-91.03144654088051,-48.03954802259887,-37.53370786516854
18,EB01,A3,-100.4,-87.36274509803921,-82.28155339805825,-60.00961538461539,-33.40952380952381
19,EB01,A4,-100.38461538461539,-88.46835443037975,-85.47435897435898,-49.39795918367347,-46.64356435643565
20,EB01,A5,-100.66666666666667,-83.9659090909091,-82.75555555555556,-52.92156862745098,-36.254901960784316
21,EB01,A6,-97.98936170212765,-74.23423423423424,-85.79591836734694,-45.37068965517241,-38.98275862068966
22,EB01,A7,-100.16363636363636,-81.61818181818182,-98.30263157894737,-51.19642857142857,-39.67857142857143
23,EB01,A8,-99.27272727272727,-81.3986013986014,-94.76,-54.34265734265734,-46.943661971830984
24,EB01,A9,-100.43636363636364,-86.85185185185185,-95.0576923076923,-53.68518518518518,-50.93518518518518
25,EB01,A10,-97.58227848101266,-90.42156862745098,-87.0989010989011,-52.780701754385966,-54.24561403508772
26,EB01,A11,-94.39393939393939,-81.37837837837837,-91.05454545454545,-49.8018018018018,-42.11711711711712
27,EB01,A12,-94.74257425742574,-80.44144144144144,-86.39252336448598,-56.71818181818182,-47.909909909909906
28,EB01,A13,-94.5764705882353,-92.61224489795919,-84.31460674157303,-55.46153846153846,-49.05769230769231
29,EB01,A14,-98.1951219512195,-76.08,-84.52307692307693,-52.57936507936508,-42.42063492063492
30,EB01,A15,-89.53508771929825,-78.04273504273505,-76.84615384615384,-53.042735042735046,-64.69827586206897
50,EB02,S1,-83.57,-40.16,-67.82,-39.89,-53.93
51,EB02,S2,-88.04,-57.33,-70.66,-37.74,-53.85
52,EB02,S3,-90.45,-60.48,-76.47,-35.16,-52.7
53,EB02,S4,-91.64,-52.5,-72.57,-40.03,-51.13
54,EB02,S5,-95.11,-60.4,-77.39,-40.05,-55.22
55,EB02,S6,-86.23,-52.44,-73.44,-35.51,-48.39
56,EB02,S7,-99.67,-59.51,-79.72,-37.61,-57.27
57,EB02,S8,-88.61,-43.72,-82.79,-36.31,-59.48
58,EB02,S9,-93.98,-61.73,-68.47,-34.69,-51.23
59,EB02,S10,-92.22,-54.14,-76.49,-31.75,-52.83
60,EB02,S11,-99.33,-50.02,-78.57,-31.16,-50.51
61,EB02,S12,-96.27,-52.62,-75.7,-28.64,-40.11
62,EB02,S13,-92.74,-55.55,-80.94,-36.48,-50.59
63,EB02,S14,-97.14,-57.8,-82.41,-30.43,-50.73
64,EB02,S15,-93.7,-55.98,-78.05,-21.07,-42.97
65,EB04,D1,-81.82,-65.62,-76.61,-49.82,-54.93
66,EB04,D2,-87.01,-65.49,-72.26,-50.13,-59.01
67,EB04,D3,-82.38,-59.19,-72.97,-50.43,-54.47
68,EB04,D4,-76.97,-50.63,-73.77,-40.45,-48.23
69,EB04,D5,-79.5,-52.54,-64.4,-50.32,-48.56
70,EB04,D6,-81.96,-56.33,-69.31,-40.82,-53.71
71,EB04,D7,-79.57,-55.28,-67.97,-42.67,-51.83
72,EB04,D8,-75.91,-48.72,-67.39,-40.88,-60.44
73,EB04,D9,-79.12,-37.68,-54.16,-48.65,-62.07
74,EB04,D10,-74.96,-52.26,-67.45,-55.45,-55.28
75,EB04,D11,-79.18,-60.16,-74.39,-55.54,-55.65
76,EB04,D12,-83.15,-58.19,-69.2,-59.32,-57.42
77,EB04,D13,-83.24,-59.69,-74.43,-55.58,-59.29
78,EB04,D14,-81.46,-66.45,-73.6,-56.63,-57.23
79,EB04,D15,-81.73,-53.39,-72.7,-54.19,-55.74
80,EB04,D16,-82.44,-48.42,-66.6,-45.97,-54.5
81,EB04,D17,-76.86,-55.73,-61.51,-55.89,-58.49
82,EB04,D18,-71.78,-58.79,-55.72,-57.57,-66.97
83,EB04,D19,-65.74,-54.38,-61.82,-54.89,-59.65
